район,площадь m^2,кол-во комнат,удаленность от центра (км),этаж,цена
4,110.3,5,23.57,18,14600000
7,124.7,6,8.58,3,18080000
3,116.4,6,12.05,21,23390000
10,102.4,5,15.2,12,8770000
4,39.5,1,12.05,14,5750000
9,129.2,5,12.36,16,14230000
4,99.9,3,24.61,24,11660000
9,90.6,4,9.33,5,9680000
7,38.4,2,14.47,17,4120000
7,109.6,5,2.57,1,15860000
8,129.1,6,6.44,5,18190000
7,86.9,5,6.97,9,13300000
5,101.3,5,17.83,24,12570000
4,84.6,3,21.93,5,10100000
7,91.2,4,22.54,6,9650000
3,108.1,5,14.33,13,19000000
1,64.8,3,3.77,5,14700000
2,76.7,3,13.41,5,13610000
2,42.8,1,1.42,23,8760000
6,72.5,3,14.83,23,8290000
7,77.6,4,14.31,12,9700000
7,88.4,4,23.68,20,8930000
7,94.6,4,23.23,5,9520000
6,122.4,6,11.43,2,18390000
8,98.2,4,4.13,15,14270000
1,41.8,1,10.37,18,8030000
6,51.3,2,13.5,17,6740000
2,135.1,6,9.1,8,31440000
7,140.7,6,4.64,3,23260000
3,87.2,4,13.15,13,16010000
8,22.4,1,24.53,19,1900000
8,79.4,3,11.85,17,8660000
6,70.6,3,11.73,7,10100000
10,107.2,5,1.9,8,12850000
2,77.9,2,7.07,20,15900000
10,117.5,5,23.87,19,8390000
4,72.9,3,17.07,12,9970000
6,50.0,2,11.19,24,5930000
5,56.6,1,8.17,16,8630000
9,111.1,4,22.27,22,8620000
1,46.7,2,12.77,21,8840000
7,69.0,2,11.43,19,8450000
9,110.6,6,2.36,24,14120000
5,102.1,4,19.62,3,12040000
9,117.1,5,2.37,11,15310000
3,141.0,5,12.04,24,23410000
8,40.8,1,8.2,18,4640000
9,109.7,4,3.31,16,13650000
1,42.5,3,19.52,14,7120000
2,36.7,2,10.98,6,7140000
4,90.9,3,8.17,10,16220000
6,123.8,6,17.36,9,17360000
1,118.7,5,15.75,16,23490000
1,129.7,5,16.59,4,22640000
7,56.8,1,8.48,10,6970000
5,62.7,2,9.12,5,9630000
7,54.1,1,22.08,21,5070000
5,52.3,3,6.13,12,8850000
4,55.0,1,1.16,7,11150000
7,67.4,3,5.12,16,9690000
5,86.7,4,14.44,13,13130000
1,42.9,2,19.66,8,6520000
8,40.0,2,4.11,10,5470000
5,40.2,2,23.49,23,4140000
3,61.7,3,8.11,1,10150000
5,21.5,1,9.12,3,3030000
9,62.0,2,2.63,20,7220000
3,82.7,3,3.49,3,16210000
6,68.6,2,4.73,18,10820000
10,107.4,5,0.89,22,12680000
3,55.2,2,14.14,3,8710000
3,117.3,5,0.77,8,30060000
5,36.8,1,9.88,4,5180000
5,78.9,4,17.21,10,10730000
2,117.6,5,16.23,7,21100000
6,76.9,3,23.59,17,7980000
1,46.0,2,8.69,17,9640000
5,35.0,1,12.51,23,4190000
5,80.1,3,21.08,11,9310000
3,80.1,4,10.04,13,15390000
3,75.4,3,14.92,20,11730000
3,65.4,2,19.26,16,8770000
7,79.6,4,9.93,25,10130000
5,131.5,6,17.58,7,18760000
2,31.9,1,6.38,1,5630000
1,29.0,1,9.43,23,5520000
10,102.4,5,23.88,5,7080000
3,91.2,3,11.46,3,14840000
3,101.0,4,14.61,24,15370000
8,48.0,2,10.02,3,4940000
1,90.4,4,3.64,17,21480000
5,43.4,1,8.79,7,6480000
8,92.9,4,20.62,17,8660000
3,126.8,6,6.89,20,28290000
7,90.7,3,21.93,10,8950000
10,51.7,2,7.15,1,4220000
2,37.8,1,21.0,14,5360000
10,75.0,3,10.98,11,6950000
2,42.9,1,3.19,21,9070000
1,94.5,4,21.08,16,15760000
3,66.6,2,8.06,17,12370000
4,84.7,3,24.81,9,10780000
2,93.8,4,2.25,15,23100000
4,133.7,6,3.9,14,29130000
6,53.7,2,3.76,5,8270000
9,121.0,5,19.88,9,10760000
5,127.0,6,8.71,23,21630000
5,91.2,4,2.76,20,17400000
4,49.3,3,19.32,11,6820000
2,112.4,5,18.11,6,19410000
3,85.6,3,5.74,23,16000000
1,64.8,1,24.42,3,8660000
9,65.8,2,12.45,23,6020000
3,142.8,6,3.64,5,32890000
3,156.4,6,12.71,5,27400000
4,77.3,3,16.01,18,11400000
10,34.0,2,16.43,1,2210000
6,85.3,4,20.25,22,9950000
7,43.4,2,8.65,10,5480000
1,103.1,5,12.58,12,21890000
10,116.7,5,11.82,5,10970000
1,48.6,2,12.36,16,9370000
5,43.4,1,6.17,2,6490000
10,36.8,1,23.04,23,2210000
7,57.5,2,20.06,24,4810000
9,52.7,3,13.75,23,4620000
8,104.5,4,12.77,18,12300000
4,153.1,6,22.51,3,20040000
7,39.3,1,15.44,18,4200000
2,105.5,5,17.39,7,18060000
9,72.2,3,7.81,14,7940000
6,43.7,2,21.25,8,4520000
8,28.5,1,10.59,6,3150000
7,68.1,3,5.44,19,9680000
8,129.8,6,23.26,19,13010000
6,47.5,2,4.07,7,7900000
8,43.1,2,1.72,17,5800000
10,91.8,4,7.26,23,9010000
8,97.3,4,4.56,13,14300000
9,87.6,5,3.29,20,11220000
9,62.6,2,14.54,7,5810000
6,53.7,2,17.0,11,6550000
8,47.6,2,8.04,23,5480000
7,80.0,3,17.37,9,8660000
9,140.0,6,14.83,13,14000000
10,36.7,1,2.1,3,3510000
6,43.1,1,10.53,8,5500000
3,93.7,5,9.67,11,18750000
10,31.0,1,22.11,8,2010000
9,108.1,5,1.52,7,14870000
3,66.1,3,8.32,5,11860000
8,97.0,5,22.48,8,9020000
5,22.4,1,13.52,10,2910000
7,104.4,5,19.27,24,10450000
3,74.3,3,23.87,12,10930000
7,37.9,2,15.87,24,3920000
4,75.7,4,10.65,19,13310000
7,67.2,2,12.11,6,7990000
5,149.8,6,14.43,15,24290000
1,97.5,4,2.37,20,24000000
10,21.2,1,12.93,4,1600000
7,113.6,6,18.64,13,12740000
3,57.1,2,1.05,13,11990000
5,138.9,6,11.64,19,22380000
1,87.0,4,21.02,3,13850000
10,15.0,1,6.53,25,1300000
5,127.6,6,8.65,10,23380000
6,64.2,3,10.7,21,9090000
1,79.6,3,14.89,18,13920000
4,48.3,2,2.24,19,9310000
5,89.4,4,7.26,13,15200000
3,128.0,5,17.3,21,21490000
7,105.7,6,23.33,6,11930000
8,79.2,3,11.21,2,8490000
4,127.0,5,8.62,18,24740000
3,61.8,1,14.18,10,9400000
8,75.5,4,19.71,4,6420000
1,41.2,1,3.4,22,9270000
3,59.1,3,2.08,20,12250000
8,56.1,2,18.01,17,5170000
5,70.2,3,16.23,13,9450000
1,88.9,3,16.58,5,14230000
6,104.7,4,11.72,16,14770000
9,38.9,1,17.37,7,3050000
3,77.6,3,7.5,11,15310000
1,116.2,5,1.22,13,33080000
6,93.8,4,6.66,2,14460000
3,94.3,5,12.55,22,16580000
4,43.5,2,24.68,24,4900000
7,23.9,1,18.4,2,2160000
9,92.3,3,23.56,18,7200000
8,134.3,6,24.5,18,12540000
5,118.8,4,6.51,10,20740000
9,133.5,5,6.07,22,16230000
4,45.1,1,17.3,3,5600000
10,129.9,6,4.2,11,14790000
5,82.3,3,19.77,18,9290000
3,72.6,2,20.88,14,9540000
4,52.3,2,10.84,24,8100000
9,135.9,5,0.53,22,19110000
8,102.6,5,5.61,8,15080000
6,32.6,1,17.51,22,3350000
4,60.2,2,20.93,23,7150000
4,62.8,2,8.14,7,11490000
2,112.4,4,12.22,8,22740000
3,97.0,4,19.56,14,14260000
2,42.4,1,1.89,16,9480000
4,98.6,3,23.11,16,12600000
2,64.4,2,5.79,20,13610000
8,46.4,1,3.93,4,5600000
3,48.2,1,12.18,16,7380000
5,108.0,3,11.95,5,14940000
6,93.8,4,0.57,15,17680000
6,55.3,2,13.57,6,7110000
8,90.3,4,16.4,15,9600000
3,87.5,3,4.58,21,17280000
9,86.8,4,21.97,5,7020000
8,150.0,6,9.55,21,20310000
6,123.8,5,9.51,24,18070000
7,53.4,2,10.96,3,6210000
6,79.7,2,7.25,16,11210000
10,37.4,2,19.55,13,2520000
5,147.6,6,20.79,13,20300000
6,121.8,5,2.44,1,18790000
2,122.3,6,24.79,20,20900000
9,135.2,5,6.44,15,17760000
4,108.9,5,3.22,10,24560000
9,107.1,4,21.38,13,8940000
8,92.4,4,3.51,18,12440000
6,69.1,2,13.46,8,9080000
3,31.1,1,1.0,10,6820000
3,76.4,3,2.44,5,15290000
6,41.1,1,24.75,5,3720000
9,84.1,4,13.46,13,8720000
10,48.9,2,16.44,1,3170000
4,108.9,5,8.07,21,21670000
4,123.8,5,23.09,4,16260000
4,68.5,2,24.3,22,7920000
5,51.1,2,6.32,4,8030000
8,40.2,2,14.26,14,4060000
6,79.3,3,3.92,8,13290000
1,99.5,5,10.41,3,20110000
8,46.2,1,9.46,5,5020000
3,41.8,1,17.52,10,5930000
8,40.3,1,21.09,1,2970000
9,148.2,6,13.42,17,15900000
7,135.4,6,14.86,21,17390000
9,37.1,2,4.72,18,3980000
8,44.5,1,14.37,12,4330000
3,108.4,6,5.12,24,23170000
2,105.4,4,20.36,23,14260000
6,60.0,2,6.18,7,9550000
5,71.3,3,6.37,8,12280000
10,130.6,6,21.64,11,10010000
9,85.7,3,21.62,12,7060000
7,56.0,2,13.38,9,6590000
5,138.2,6,19.08,6,19270000
3,130.1,5,3.22,25,29050000
8,97.1,4,13.67,25,9630000
3,72.9,3,4.21,22,15470000
5,128.3,6,4.48,14,27350000
4,82.2,3,22.46,2,10260000
2,54.3,2,17.38,7,8210000
7,106.4,5,22.37,19,10820000
7,126.5,5,5.47,1,17200000
1,98.7,4,19.8,9,17120000
2,40.9,1,0.7,13,9470000
5,94.5,3,18.81,16,11900000
2,74.0,4,24.49,4,10650000
10,64.8,3,15.0,6,5250000
1,63.5,2,5.33,6,14890000
8,135.6,6,15.71,7,15710000
9,118.3,5,18.44,8,10310000
1,41.5,2,14.68,2,6820000
7,68.6,3,24.33,17,6670000
10,101.6,5,19.05,2,7710000
4,98.1,4,11.21,13,17420000
9,130.0,6,9.46,15,15880000
10,130.5,6,20.1,1,8870000
4,52.0,2,5.35,13,9370000
2,57.2,2,7.46,5,10870000
9,115.9,5,22.98,22,9400000
3,34.4,1,10.39,9,5880000
3,95.1,4,14.48,6,15790000
1,69.0,3,18.35,17,11740000
8,132.2,5,13.99,11,15670000
9,111.7,5,4.0,16,13650000
4,59.2,3,2.45,10,11610000
2,87.6,3,4.27,21,19700000
3,104.8,5,2.25,7,24880000
9,90.7,3,10.53,13,9110000
5,122.1,6,21.53,17,16250000
7,60.9,2,3.18,6,9030000
8,63.1,2,4.22,14,8330000
8,76.9,3,21.06,17,6470000
1,111.7,5,19.4,20,19150000
4,43.0,1,20.5,13,5030000
2,130.7,6,3.68,10,33830000
7,46.2,1,18.78,9,4450000
1,70.0,3,14.4,11,13320000
4,123.0,5,14.11,10,20010000
9,157.7,6,15.17,11,16250000
2,155.1,6,4.4,15,38330000
1,103.9,4,5.03,18,24410000
6,101.4,4,7.09,17,16450000
4,110.9,5,14.97,21,17080000
1,58.9,2,19.03,9,9440000
7,113.6,5,11.0,1,14330000
3,118.4,5,15.19,8,19790000
3,156.1,6,0.59,18,39980000
